Method,Mean Difference,Std Error,Method Type
CRL Last State,197.9330139160156,4.361454010009766,CRL
CRL Inferred Goal,208.78851318359372,4.7199530601501465,CRL
CRL Mean Field,108.41400146484376,4.456873893737793,CRL
GoalKDE True Goal,143.55450439453125,6.47581958770752,GoalKDE
GoalKDE Last State,220.01251220703125,5.132143497467041,GoalKDE
GoalKDE Inferred Goal,222.4780120849609,5.297487735748291,GoalKDE
GoalKDE Mean Field,179.010009765625,5.724218368530273,GoalKDE
BC True Goal,183.0570068359375,7.233981609344482,BC
BC Last State,267.884521484375,5.226873397827148,BC
BC Inferred Goal,268.8590087890625,5.440954685211182,BC
BC Mean Field,240.97750854492188,5.801835060119629,BC
GoalKDE True Goal,143.55450439453125,6.47581958770752,GoalKDE
BC True Goal,183.0570068359375,7.233981609344482,BC
