Method,Mean Difference,Std Error,Method Type,Environment
FB + Standard,34.9859356880188,1.01862801238894,FB,Reacher
FB + GoalKDE MF,38.122332096099846,1.0505301877856201,FB,Reacher
FB + True Goal,36.04310154914856,1.0070553049445101,FB,Reacher
CRL + GoalKDE + Mean Field,100.41780471801758,0.23166616447269,CIRL,Reacher
FB + Standard,4.93460297584533,1.4010845683515,FB,Pusher
FB + GoalKDE MF,5.99743127822876,1.43635971471667,FB,Pusher
FB + True Goal,5.1623523235321,1.40298390761017,FB,Pusher
CRL + GoalKDE + Mean Field,22.014182806015008,1.6050374135374998,CIRL,Pusher
FB + Standard,7.6517403125762895,1.15369521081447,FB,Ant
FB + GoalKDE MF,11.51459217071533,1.2285937555134199,FB,Ant
FB + True Goal,12.31180429458618,1.27747543156147,FB,Ant
CRL + GoalKDE + Mean Field,46.03159427642822,1.12254312261939,CIRL,Ant
