Method,Mean Difference,Std Error,Method Type,Environment
CRL + GoalKDE + Full Tau,15.593564510345459,1.13885449245572,CIRL,Ant
CRL + GoalKDE + Mean Field,46.10191583633423,1.1458134278655001,CIRL,Ant
GCBC + Full Tau,26.79698467254638,1.38286473229527,BC,Ant
GCBC + Mean Field,93.4011936187744,1.04454904794693,BC,Ant
CRL + GoalKDE + Full Tau,23.7047016620636,0.82416711375117,CIRL,Reacher
CRL + GoalKDE + Mean Field,100.41780471801758,0.23166616447269,CIRL,Reacher
GCBC + Full Tau,81.7792296409607,0.83906902000308,BC,Reacher
GCBC + Mean Field,103.34982872009275,0.22645969875156,BC,Reacher
CRL + GoalKDE + Full Tau,17.63551831245422,1.5650754794478399,CIRL,Pusher
CRL + GoalKDE + Mean Field,21.10225558280944,1.59487780183553,CIRL,Pusher
GCBC + Full Tau,17.20081567764282,1.5716684982180502,BC,Pusher
GCBC + Mean Field,45.05967497825622,1.7704637721180898,BC,Pusher
