Method,Mean Difference,Std Error,Method Type,Environment
GCBC + Mean Field,95.02362608909608,1.0116282850503902,GCBC,Ant
Nearest Neighbor,0.35793185234069,1.03120179846882,NN,Ant
FB,5.960464477539064e-06,1.03141339495778,FB,Ant
CRL + GoalKDE + Mean Field,44.91193294525146,1.1352066881954601,CIRL,Ant
GCBC + Mean Field,103.34982872009275,0.22645969875156,GCBC,Reacher
Nearest Neighbor,98.62237572669984,0.1121278037317,NN,Reacher
FB,17.33307242393493,0.5479200277477501,FB,Reacher
CRL + GoalKDE + Mean Field,100.41780471801758,0.23166616447269,CIRL,Reacher
GCBC + Mean Field,44.6255624294281,1.7755290493369098,GCBC,Pusher
Nearest Neighbor,14.68093991279602,1.4574171975255001,NN,Pusher
FB,5.0506591796875,1.41469184309244,FB,Pusher
CRL + GoalKDE + Mean Field,20.80101370811462,1.59578211605548,CIRL,Pusher
