Method,Mean Difference,Std Error,Method Type
CRL Last State,192.6425018310547,4.286289691925049,CRL
CRL Inferred Goal,205.81150817871094,4.758835792541504,CRL
CRL Mean Field,105.44750213623047,4.3571648597717285,CRL
GoalKDE True Goal,138.1090087890625,6.380378723144531,GoalKDE
GoalKDE Last State,220.2565155029297,5.0047221183776855,GoalKDE
GoalKDE Inferred Goal,216.4340057373047,5.456507682800293,GoalKDE
GoalKDE Mean Field,177.76251220703125,5.740475654602051,GoalKDE
Nearest Neighbor,309.4405212402344,4.468923091888428,NN
FB Inferred Goal,310.6175231933594,4.45483922958374,FB
BC True Goal,182.4755096435547,7.111012935638428,BC
BC Last State,263.83551025390625,5.285067558288574,BC
BC Inferred Goal,261.99200439453125,5.43104362487793,BC
BC Mean Field,240.87051391601562,5.802387714385986,BC
