Method,Mean Difference,Std Error,Method Type
CRL Last State,103.02200317382812,7.58418083190918,CRL
CRL Inferred Goal,474.60302734375,11.296042442321777,CRL
CRL Mean Field,627.1795043945312,8.925861358642578,CRL
GoalKDE True Goal,345.6050109863281,11.557770729064941,GoalKDE
GoalKDE Last State,416.88702392578125,9.23115348815918,GoalKDE
GoalKDE Inferred Goal,606.383544921875,9.320948600769043,GoalKDE
GoalKDE Mean Field,564.885498046875,9.476713180541992,GoalKDE
Nearest Neighbor,555.8475341796875,9.881738662719727,NN
FB Inferred Goal,603.321533203125,9.61198902130127,FB
BC True Goal,-25.38650131225586,12.039152145385742,BC
BC Last State,164.90350341796875,8.502418518066406,BC
BC Inferred Goal,405.6070251464844,11.946576118469238,BC
BC Mean Field,352.3545227050781,12.052838325500488,BC
