Method,Mean Difference,Std Error,Method Type
CRL Last State,106.74950408935547,7.5381364822387695,CRL
CRL Inferred Goal,464.4170227050781,11.395094871520996,CRL
CRL Mean Field,624.279541015625,8.949421882629395,CRL
GoalKDE True Goal,347.25750732421875,11.630352973937988,GoalKDE
GoalKDE Last State,419.281005859375,9.175556182861328,GoalKDE
GoalKDE Inferred Goal,606.6415405273438,9.161815643310547,GoalKDE
GoalKDE Mean Field,566.1515502929688,9.382414817810059,GoalKDE
BC True Goal,-28.221500396728516,12.042045593261719,BC
BC Last State,168.54200744628906,8.567899703979492,BC
BC Inferred Goal,399.70953369140625,11.979828834533691,BC
BC Mean Field,353.19000244140625,12.116969108581543,BC
