Method,Mean Difference,Std Error,Method Type
CRL Last State,67.31200408935547,4.226988315582275,CRL
CRL Inferred Goal,669.9555053710938,8.351760864257812,CRL
CRL Mean Field,6.0425004959106445,1.8800528049468994,CRL
GoalKDE True Goal,-15.564001083374023,2.7228832244873047,GoalKDE
GoalKDE Last State,57.54850387573242,4.365473747253418,GoalKDE
GoalKDE Inferred Goal,896.903564453125,4.623871803283691,GoalKDE
GoalKDE Mean Field,912.5155639648438,4.477977752685547,GoalKDE
BC True Goal,-30.947002410888672,2.5393764972686768,BC
BC Last State,31.976001739501953,4.922480583190918,BC
BC Inferred Goal,487.4535217285156,10.565425872802734,BC
BC Mean Field,-27.00750160217285,2.2271175384521484,BC
