Method,Mean Difference,Std Error,Method Type
CRL + Oracle + Last State,227.14651489257812,6.481964588165283,CRL
CRL + Oracle + Full Tau,353.2095031738281,6.957557201385498,CRL
CRL + Oracle + Mean Field,108.66050720214844,6.2217254638671875,CRL
CRL + GoalKDE + True Goal,222.27151489257812,8.418777465820312,GoalKDE
CRL + GoalKDE + Last State,329.0055236816406,6.336760997772217,GoalKDE
CRL + GoalKDE + Full Tau,488.59051513671875,6.592311382293701,GoalKDE
CRL + GoalKDE + Mean Field,311.99151611328125,6.632593631744385,GoalKDE
Nearest Neighbor,576.8145141601562,6.273893356323242,NN
FB,578.8545532226562,6.24801778793335,FB
GCBC + True Goal,-94.21200561523438,8.371135711669922,BC
GCBC + Last State,109.31250762939453,6.6738762855529785,BC
GCBC + Full Tau,423.739013671875,8.004776000976562,BC
GCBC + Mean Field,38.19750213623047,6.046420097351074,BC
