Method,Mean Difference,Std Error,Method Type
CRL Last State,54.91800308227539,3.349062919616699,CRL
CRL Inferred Goal,242.9735107421875,8.475537300109863,CRL
CRL Mean Field,60.07250213623047,4.173733711242676,CRL
GoalKDE True Goal,177.8660125732422,7.095152378082275,GoalKDE
GoalKDE Last State,187.69200134277344,7.00192403793335,GoalKDE
GoalKDE Inferred Goal,222.99200439453125,8.014470100402832,GoalKDE
GoalKDE Mean Field,224.97300720214844,8.071890830993652,GoalKDE
Nearest Neighbor,-0.23400001227855682,0.00946689024567604,NN
FB Inferred Goal,249.37051391601562,8.62463665008545,FB
BC True Goal,-35.03850173950195,2.7555484771728516,BC
BC Last State,34.872501373291016,4.429401397705078,BC
BC Inferred Goal,239.99551391601562,8.472990036010742,BC
BC Mean Field,187.42100524902344,7.75022029876709,BC
