Method,Mean Difference,Std Error,Method Type
CRL + Oracle + Last State,128.40550231933594,7.5962300300598145,CRL
CRL + Oracle + Full Tau,569.2320556640625,10.48575210571289,CRL
CRL + Oracle + Mean Field,441.238525390625,11.053016662597656,CRL
CRL + GoalKDE + True Goal,-55.1410026550293,11.626914978027344,GoalKDE
CRL + GoalKDE + Last State,131.13400268554688,7.666397571563721,GoalKDE
CRL + GoalKDE + Full Tau,551.8480224609375,10.533872604370117,GoalKDE
CRL + GoalKDE + Mean Field,529.779052734375,10.674530029296875,GoalKDE
Nearest Neighbor,570.717529296875,9.748976707458496,NN
FB,635.1365356445312,9.463177680969238,FB
GCBC + True Goal,-106.15350341796875,11.2345609664917,BC
GCBC + Last State,80.6395034790039,7.331571102142334,BC
GCBC + Full Tau,547.0075073242188,10.75235366821289,BC
GCBC + Mean Field,370.4115295410156,11.8768949508667,BC
