Method,Mean Difference,Std Error,Method Type
CRL + Oracle + Last State,68.2655029296875,4.033041000366211,CRL
CRL + Oracle + Full Tau,773.3610229492188,7.316853046417236,CRL
CRL + Oracle + Mean Field,337.0835266113281,8.362203598022461,CRL
CRL + GoalKDE + True Goal,-26.125001907348633,2.123170852661133,GoalKDE
CRL + GoalKDE + Last State,40.74500274658203,4.010317802429199,GoalKDE
CRL + GoalKDE + Full Tau,736.7440185546875,7.958553791046143,GoalKDE
CRL + GoalKDE + Mean Field,-4.0345001220703125,2.2370798587799072,GoalKDE
Nearest Neighbor,13.303000450134277,1.082759976387024,NN
FB,627.8070068359375,9.836360931396484,FB
FB (Offline),735.3140258789062,8.602932929992676,FB
HILP,918.0880737304688,2.293151617050171,HILP
PSM,735.18505859375,8.605770111083984,PSM
GCBC + True Goal,-33.747501373291016,2.2911691665649414,BC
GCBC + Last State,30.98600196838379,4.796326637268066,BC
GCBC + Full Tau,175.94850158691406,8.102453231811523,BC
GCBC + Mean Field,-32.34749984741211,2.1868035793304443,BC
