Method,Mean Difference,Std Error,Method Type
CRL + Oracle + Last State,-832.5056762695312,6.330984592437744,CRL
CRL + Oracle + Full Tau,34.96988296508789,7.194293022155762,CRL
CRL + Oracle + Mean Field,-354.7766418457031,6.684144973754883,CRL
CRL + GoalKDE + True Goal,-887.982177734375,6.683562755584717,GoalKDE
CRL + GoalKDE + Last State,-882.0851440429688,6.3082170486450195,GoalKDE
CRL + GoalKDE + Full Tau,-25.275117874145508,7.739048957824707,GoalKDE
CRL + GoalKDE + Mean Field,-879.1856689453125,6.3028244972229,GoalKDE
Nearest Neighbor,-846.5581665039062,6.406043529510498,NN
FB,35.31088638305664,7.197249889373779,FB
GCBC + True Goal,-866.2716674804688,6.6066508293151855,BC
GCBC + Last State,-861.4686889648438,6.284228801727295,BC
GCBC + Full Tau,8.827383041381836,7.8047099113464355,BC
GCBC + Mean Field,-856.66064453125,6.273768901824951,BC
